date,name,round,amount,chains,sector,category,categoryGroup,source,leadInvestors,otherInvestors,valuation,defillamaId
2025-12-04,Canton Network,Strategic,50.0,,"Canton Network is a public Layer-1 blockchain for institutional finance that combines privacy, interoperability, and scalability. Built with DAML smart contracts and governed by major financial institutions through the Global Synchronizer Foundation, it supports atomic cross-application transactions—such as tokenized bonds and cash—while enforcing need-to-know data privacy and regulatory controls.",L1,Base Layers & Scaling,https://www.bloomberg.com/news/articles/2025-12-04/bny-nasdaq-join-50-million-digital-asset-fresh-funding-in-bet-on-blockchain,,"BNY Mellon, Nasdaq Ventures, iCapital, S&P Global",,
2025-12-03,AllScale,,,,"AllScale is a crypto-fiat-agnostic neobank for businesses, freelancers, DAOs, and Web3 teams, providing compliant stablecoin payments and cross-border services. It supports invoicing, payroll, social commerce payments, and treasury tools with instant, low-cost settlement.",Banking,DeFi & CeFi,https://x.com/yzilabs/status/1996128001772453984,YZi Labs,,,
2025-12-03,Haiku,Pre-Seed,1.0,Solana,"Haiku is an AI-driven on-chain intent trading protocol and decentralized derivatives exchange on Solana. It converts target trading states into single on-chain transactions, enabling fast, low-cost perpetuals trading with integrated risk management and modular AMM infrastructure.",DeFi,DeFi & CeFi,https://x.com/HaikuTrade/status/1996370844990492915,Big Brain Holdings,"Auros Global, Daedalus, Frostlight",,6266
2025-12-03,Axis,,5.0,Plasma,"Axis is a quantitative yield protocol that brings market-neutral, institutional trading strategies on-chain across USD, bitcoin, and gold. It provides real-time, verifiable performance with auditable data, reserve verification, and low operating costs, and is launching on Plasma with integrations for custody, verification, and on-chain data feeds",DeFi,DeFi & CeFi,https://x.com/AxisFDN/status/1996204874409861319,Galaxy Digital,"FalconX, CMT Digital, OKX Ventures, Maven 11, GSR, CMS Holdings",,
2025-12-03,Fin,,17.0,,"Fin is an enterprise-grade stablecoin payments platform for instant, high-value business and institutional transfers. Formerly TipLink, it enables fast, low-cost settlement between Fin accounts, bank accounts, and crypto addresses using compliant stablecoin payment rails.",Payments,DeFi & CeFi,https://x.com/fin/status/1996248631733571998,Pantera Capital,"Sequoia Capital, Samsung Next",,
2025-12-03,Ostium Labs,Series A,20.0,,"Ostium is a decentralized perpetuals exchange for real-world assets such as commodities, forex, and stocks. It enables on-chain trading of perpetual futures with sub-second price updates, allowing users to take leveraged positions without expiry as long as margin requirements are met",DeFi,DeFi & CeFi,https://fortune.com/2025/12/03/ostium-series-a-fundraise-perpetuals-perps-crypto/,"General Catalyst, Jump Trading","Coinbase Ventures, Wintermute Ventures, GSR",250,
2025-12-02,Reya Network,Public token sale,3.0,,"Reya Network is an EVM Layer 2 for DeFi scaling, solving liquidity fragmentation, front-running, and MEV with FIFO-ordered transactions. It seeks to provide optimal trading and stability with passive LPs, advanced margin engine logic, and high throughput",L2,Base Layers & Scaling,https://x.com/reya_xyz/status/1995772515721900165,,,,
2025-12-02,BitStack,Series A,15.0,,"Bitstack is a regulated European crypto-wallet and savings app that automatically converts users’ spare change or scheduled contributions into Bitcoin, allowing buying, selling, sending, receiving, and storing BTC with minimal effort",CeFi,DeFi & CeFi,https://bitstack-app.com/actualites/bitstack-leve-15-millions-de-dollars-pour-devenir-le-leader-europeen-de-lepargne-en-bitcoin?c=EUR,13bookscapital,"Plug and Play, Y Combinator, StillMark, AG2R La Mondiale, Serena",,
2025-12-01,Harmonix Finance,Public token sale,0.6,"Hyperliquid L1, Arbitrum, Base, Ethereum","Harmonix Finance is a DeFi platform that delivers hedge fund–style strategies through automated on-chain vaults and derivatives pools. It supports delta-neutral, options-based, and restaking strategies focused on yield generation and risk management.",DeFi,DeFi & CeFi,https://x.com/harmonixfi/status/1995449454824919088,,,,4856
2025-12-01,Ranger Finance,Public token sale,6.0,Solana,"Ranger Finance is a Solana-based perpetuals aggregator that combines liquidity, smart order routing, and market data for traders. It unifies access to perpetual futures, spot, and spot margin trading within the Solana ecosystem",DeFi,DeFi & CeFi,https://x.com/ranger_finance/status/1990807074796695666,,,15.3,
2025-12-01,OpenEden,Strategic,,Ethereum,"OpenEden is a real-world asset tokenization platform, building the bridge to a new financial system. OpenEden's mission is to unlock trillions by bringing real-world assets on-chain, seamlessly and securely",RWA,DeFi & CeFi,https://x.com/OpenEden_X/status/1995580962038841384,,"Ripple, Lightspeed Faction, Gate Ventures, FalconX, Anchorage Digital, Flowdesk, Kaia Foundation, P2 Ventures, Selini Capital, Sigma Capital",,parent#openeden
2025-12-01,DeepNode AI,Seed,2.0,,"DeepNode AI is a decentralized AI inference network that turns idle GPUs into an on-demand compute layer. It uses blockchain-based validation and token rewards to let developers run AI models at scale, while GPU providers earn by supplying compute",DePIN,Web3 Infrastructure & Tools,https://x.com/DeepNodeAI/status/1995511382700371988,,,25,
2025-12-01,Zoo Finance,Strategic,10.0,Berachain,"Zoo Finance is a structured asset protocol that provides liquidity solutions for locked and illiquid crypto assets. By depositing assets or rights into vaults, users receive tradable instruments covering use cases like node operations, vesting positions, leveraged exposure, and bribe or yield optimization",DeFi,DeFi & CeFi,https://x.com/ZooFinanceIO/status/1995496712350392492,Bitrise Capital,"The Open Platform, Certik Ventures, Signum Capital, Cryptomeria Capital, Cryptogram Ventures",,5762
2025-11-28,idOS,Public token sale,0.54,,"idOS is a decentralized, chain-agnostic identity layer for Web3 that lets users store encrypted personal data and control access to it. It uses a distributed storage network and an access management protocol to enable self-sovereign identity, interoperable across multiple identity frameworks",Digital Identity,"Social, DAO & Identity",https://x.com/idOS_network/status/1994393935201136763,,,,
2025-11-27,XMAQUINA,,,,"XMAQUINA is a DePIN platform that enables tokenization of autonomous robots and other intelligent machines. It allows businesses to raise capital for robotics by turning machines into on-chain revenue-sharing assets, giving participants exposure to real-world robotic operations through transparent blockchain mechanisms",DePIN,Web3 Infrastructure & Tools,https://www.xmaquina.io/blog/borderless-and-decentralized-capital-formation,,"Borderless Capital, vVv, Waterdrip Capital, Clairvoyant Labs",,
2025-11-27,Gonka,Strategic,12.0,,"Gonka is an AI-powered prediction and social trading platform where users compete in short, game-based prediction rounds on market and data-driven outcomes. It uses on-chain rewards, transparency, and multiplayer mechanics to create a skill-based, competitive prediction environment",Gaming,"NFT, Gaming & Metaverse",https://www.kucoin.com/news/flash/bitfury-invests-12m-in-decentralized-ai-network-gonka-ai,Bitfury,,,
2025-11-27,Nexton,Strategic,4.0,TON,"Nexton is a restaking protocol on TON that routes staked assets through different strategies to optimize rewards across the ecosystem. It improves capital efficiency and network security while allowing users to redeploy staking positions in a more flexible, automated way",DeFi,DeFi & CeFi,https://x.com/NextonNode/status/1994018326507606186,,"Amber Group, VistaLabs, Metalabs Ventures, Kaia Foundation, TON Ventures, STON.fi",,5445
2025-11-26,CiDi Games,Strategic,,,"Cidi Games is a Web3 gaming platform focused on mobile-first blockchain games with on-chain asset ownership. It lets players collect, trade, and upgrade NFTs across skill-based games, with shared progression and cross-game interoperability",Gaming,"NFT, Gaming & Metaverse",https://x.com/PlayCiDi/status/1993860313079517246,Pi Network,,,
2025-11-26,SpaceComputer,Seed,10.0,,"SpaceComputer is an orbital computing infrastructure that uses cryptographic technologies such as zero-knowledge proofs, multi-party computation, and fully homomorphic encryption to create a decentralized root of trust. By deploying secure compute nodes in space, it aims to provide resilient, tamper-resistant infrastructure for blockchain applications, including zk-rollups and secure on-chain auctions.",Infrastructure,Web3 Infrastructure & Tools,https://x.com/SpaceComputerIO/status/1993747847452516771,"Maven 11, Lattice Fund","Superscrypt , Ethereal Ventures, Arbitrum Foundation, Nascent, Hash3, Starship Ventures, CMS Holdings, Blockchain Builders Fund, Bitscale Capital, HashKey Capital, Amber Group, Offchain Labs, Bodhi Ventures, Chorus One Ventures, imToken Ventures, Moonrock Capital, Wise3 Ventures, Encode Club",,
2025-11-25,CreatorFi,,2.0,Aptos,"CreatorFi is a Web3 financial platform that provides stablecoin credit and on-chain financing tools for digital creators. It tokenizes future earnings and engagement to enable fast, platform-native funding through fan-backed mechanisms and other creator-focused financial instruments",DeFi,DeFi & CeFi,https://www.prnewswire.com/news-releases/creatorfi-launches-on-aptos-with-2m-strategic-backing-to-scale-stablecoin-credit-for-creators-302625743.html,Aptos Labs,,,
2025-11-25,Alchemy,,,,"Alchemy is a Web3 developer platform that provides infrastructure, APIs, and tools for building and scaling blockchain applications. It offers node services, indexing, webhooks, analytics, and account abstraction tooling across major networks",Infrastructure,Web3 Infrastructure & Tools,https://www.businesswire.com/news/home/20251125461920/en/C1-Fund-Inc.-Adds-Alchemy-to-Portfolio-of-Leading-Digital-Asset-Infrastructure-Companies,C1 Fund,,,
2025-11-25,Pruv Finance,Series A,3.0,,"Pruv Finance is a decentralized savings protocol that uses tokenized real-world assets to generate yield on USDC. It offers principal-protected returns through regulated issuers of treasuries and other short-term assets, using non-custodial, audited smart contracts for on-chain transparency",RWA,DeFi & CeFi,https://x.com/FintechSIN/status/1993508010757419323,UOB Venture Management,"Saison Capital, Taisu Ventures, Ascent Venture Group, Spiral Ventures",,
2025-11-24,Figure,,25.0,Provenance,"Figure is a blockchain technology company that provides loan origination, equity management, and payment services built on the Provenance Blockchain. It focuses on improving speed and efficiency in financial services for both consumers and institutions",RWA,DeFi & CeFi,https://ondo.finance/blog/ondo-ylds-25m-investment,Ondo Finance,,,
2025-11-24,Revolut,,,,"Revolut is a global financial app that offers digital banking, payments, foreign exchange, crypto trading, and investing in stocks. Available in 200+ countries, it provides multi-currency accounts, cards, budgeting tools, and international transfers under regulatory licenses in multiple jurisdictions",Banking,DeFi & CeFi,https://www.revolut.com/news/revolut_completes_fundraising_process_establishing_75_billion_valuation/,"Coatue, Greenoaks Capital, Dragoneer Investment Group, Fidelity International","a16z crypto, Nvidia, Franklin Templeton, T. Rowe Price Investment Management",75000,
2025-11-21,RateX,Strategic,7.0,Solana,World’s 1st Leveraged Yield Exchange,DeFi,DeFi & CeFi,https://www.finsmes.com/2025/11/ratex-raises-10-4m-in-funding.html,,"Crypto.com, Animoca Brands, Gate Ventures, GSR, Summer Capital, BGX, Echo",,5265
2025-11-21,Nad.fun,Seed,1.1,Monad,Launchpad on Monad,DeFi,DeFi & CeFi,https://x.com/naddotfun/status/1991868470238355743,Neoclassic Capital,,,7058
2025-11-20,Kalshi,Series E,1000.0,,Kalshi is a CFTC-regulated event derivatives exchange where users trade binary contracts (yes/no) on real-world outcomes,Betting,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1b-round/,"Paradigm, Sequoia Capital, a16z crypto","Neo, CapitalG, Anthos Capital",11000,6689
2025-11-20,Numeraire,Series C,30.0,,A new kind of hedge fund built by a network of data scientists,DeFi,DeFi & CeFi,https://blog.numer.ai/numerai-raises-30m-series-c-at-500m-valuation/,"Union Square Ventures, Placeholder","CoinFund, Paul Tudor Jones, Shine Capital",500,226
2025-11-20,HelloTrade,Seed,4.6,MegaETH,"HelloTrade is a blockchain-based trading app built on MegaETH that allows users to trade leveraged positions (up to 10×) on stocks, ETFs, commodities, and cryptocurrencies 24/7 through a mobile/web interface, without requiring a traditional brokerage account or wallet-gas setup",Trading,DeFi & CeFi,https://www.odaily.news/en/newsflash/457540,Dragonfly Capital,Mirana Ventures,,
2025-11-20,ZENi,Seed,1.5,,"ZENi is a Web3 data-infrastructure protocol that aggregates on-chain activity and off-chain behavioral signals into a structured InfoFi data stream, enabling AI agents to execute automated outreach or engagement based on real-time patterns and user intent",AI,"AI, Analytics & Data",https://blockchainreporter.net/zeni-raises-1-5-million-seed-round-to-power-the-intelligence-data-layer-for-ai-agents/,"Waterdrip Capital, Mindfulness Capital","DePIN X, Attention Capital, Rootz Labs, Metalabs Ventures",,
2025-11-19,Doppel,Series C,70.0,,"Doppel is an AI-driven digital risk-protection platform that scans social media, domains, ads, crypto channels and the dark web to detect and dismantle phishing, impersonation, deepfake and fraud infrastructure for brands and Web3 platforms",Cybersecurity,Security & Audits,https://www.doppel.com/blog/doppel-series-c,"Bessemer Venture Partners, a16z crypto","George Kurtz, Breanna Stewart, Nneka Ogwumike, South Park Commons, Script Capital, Strategic Cyber Ventures",,
2025-11-19,Mu Digital,Pre-Seed,1.5,Monad,"Mu Digital is a protocol focused on bringing Asia based fixed income assets onchain through tokenization. The platform structures credit products, such as government bonds, corporate bonds and private credit, into two onchain tokens. AZND (Asia Dollar) represents the senior tranche backed by underlying credit assets. muBOND represents a junior tranche designed to absorb portfolio level volatility.",DeFi,DeFi & CeFi,https://x.com/MuDigitalHQ/status/1991324099302592814,,"CMS Holdings, Signum Capital, UOB Venture Management, Cointelegraph, Echo",,7055
2025-11-19,Deblock,Series A,35.0,,"Deblock is a hybrid banking + crypto wallet platform combining a euro IBAN bank-account, debit card, and non-custodial wallet to let users hold, exchange, and move fiat and crypto seamlessly",Banking,DeFi & CeFi,https://finance.yahoo.com/news/revolut-alumni-raise-35m-fuel-090000598.html,"Headline, Chalfen Ventures, Speedinvest, Latitude","Triton Capital, Shapers, Commerz Ventures",,
2025-11-18,0xbow,Seed,3.5,,0xbow builds privacy and regulatory compliance tools,DeFi,DeFi & CeFi,https://thedefiant.io/news/defi/0xbow-raises-usd3-5-million-to-expand-privacy-pools,,"Coinbase Ventures, Boost VC, Status, Starbloom",,
2025-11-18,Ledn,,,Bitcoin,"Ledn is a digital asset financial services platform offering lending, savings, and credit products for Bitcoin and stablecoins. It provides BTC- and USDC-backed loans, interest accounts, institutional trading services, and products such as the Bitcoin Mortgage, which uses Bitcoin as collateral for real estate financing. Ledn operates with regulatory oversight in multiple jurisdictions and publishes Proof-of-Reserves attestations to support transparency and compliance",CeDeFi,DeFi & CeFi,https://tether.io/news/tether-makes-strategic-investment-in-ledn-expanding-opportunities-in-bitcoin-backed-lending/,Tether,,,
2025-11-18,BOB,Public token sale,4.2,Bitcoin,"BOB (Build on Bitcoin) is an EVM-compatible Layer 2 that brings smart contract functionality to Bitcoin. It connects Bitcoin and Ethereum by running EVM applications while using Bitcoin for settlement and security, enabling DeFi and other use cases to operate on a Bitcoin-secured rollup",L2,Base Layers & Scaling,https://x.com/build_on_bob/status/1990795978295668858,,,,chain#bob
2025-11-18,Obex,,38.0,,"Obex is a crypto incubator launched by Sky (formerly MakerDAO) to support stablecoin projects backed by real-world assets rather than synthetic or under-collateralized designs. It focuses on teams building stablecoins backed by assets such as compute credits, energy, or fintech loans, providing a 12-week accelerator with capital, technical guidance, and access to Sky’s stablecoin ecosystem (DAI and USDS). The goal is to advance secure, asset-backed stablecoins and real-world-asset protocols",Stablecoin,,https://x.com/obexincubator/status/1990820932563116064,"Layer Zero, Sky(formerly MakerDAO), Framework Ventures",,,
2025-11-18,Kraken,,200.0,,Kraken makes it easy to get started. Sign up today to buy and sell 200+ cryptocurrencies,Centralized Exchange,DeFi & CeFi,https://fortune.com/2025/11/18/kraken-citadel-securities-ken-griffin-800-million-fundraise/,Citadel Securities,,20000,3545
2025-11-17,Vooi,Public token sale,1.25,Arbitrum,Enjoy a CEX-like experience while trading across various perp DEXs and blockchain networks,DeFi,DeFi & CeFi,https://x.com/vooi_io,,,,4655
2025-11-17,USD AI,,,Arbitrum,USD.AI is a yield-bearing synthetic dollar protocol backed by real-world infrastructure assets,DeFi,DeFi & CeFi,https://x.com/USDai_Official/status/1990417700644847724,Coinbase Ventures,,,6190
2025-11-17,WizzWoods,Series A,10.0,,"WizzWoods is a pixel farming game integrated with Telegram and Twitter, featuring farming, upgrades, and map customization. It uses blockchain to support SocialFi elements, allowing players to earn $WIZZ tokens through farm management and cross-chain trading",Gaming,"NFT, Gaming & Metaverse",https://x.com/wizzwoodsgame/status/1990618467960295668,"Animoca Brands, Infinity Ventures Crypto",,,
2025-11-17,Monad,Public token sale,269.0,Monad,"Monad is a high-performance, EVM-compatible Layer-1 blockchain that achieves parallel transaction execution and fast finality through a custom BFT consensus and optimized state-storage architecture",L1,Base Layers & Scaling,https://thedefiant.io/news/tokens/monad-launches-mainnet-mon-tge-listing,,,,chain#monad
2025-11-14,Space,Public token sale,,Solana,"Space is a leveraged prediction market platform on Solana that lets users take amplified positions on future events. It uses on-chain mechanics, competitive forecasting, and deep liquidity to enable efficient capital flow and reward accurate predictions",Betting,,https://x.com/intodotspace/status/1989394710939746317,,,,
2025-11-14,CodexField,Strategic,,BSC,"CodexField is a decentralized development and content platform on BNB Greenfield that provides Git-compatible storage, version control, and monetization. Using gitd, developers can securely upload and manage code with decentralized storage and blockchain-backed metadata. It also includes a Code Marketplace for buying, selling, and rating assets, supported by AI tooling and token incentives",Infrastructure,Web3 Infrastructure & Tools,https://x.com/onebit_ventures/status/1989297546926182556,Onebit Ventures,,,
2025-11-13,Self Protocol,Seed,9.0,,"Self is a digital identity and trust platform that uses privacy-preserving technologies like verifiable credentials and reusable KYC to verify identities without exposing sensitive data. It lets users control what they share while giving businesses instant, regulatory-grade verification for onboarding, authentication, age checks, and fraud prevention across fintech, Web3, and other digital services.",Digital Identity,"Social, DAO & Identity",https://x.com/SelfProtocol/status/1988986585883504683,,"Greenfield Capital, Spearhead, Verda Ventures, Fireweed Ventures, Starup Capital Ventures x SBI Fund, Sreeram Kanan, Sandeep Nailwal, Julien Bouteloup, Jill Gunter, Hart Lambur, Casey Neistat",,
2025-11-13,Acurast,,11.0,,"Acurast is a decentralized verifiable compute network that uses smartphones as secure compute nodes through Trusted Execution Environments (TEEs) and Hardware Security Modules (HSMs). It provides a privacy-focused, energy-efficient alternative to traditional cloud infrastructure, supporting workloads such as AI inference, decentralized VPNs, and secure data processing. With over 65,000 devices participating in its incentivized testnet, Acurast enables scalable and confidential application execution without relying on data centers",DePIN,Web3 Infrastructure & Tools,https://x.com/Acurast/status/1988994278891180280,,"peaq, Scytale Ventures, CoinList, Web3 Foundation, MN Capital, Tezos Foundation, Gavin Wood, Sigma Capital",,
2025-11-12,Kyuzo’s Friends,,11.0,,"Kyuzo’s Friends is an AI-enhanced Web3 social game built around the DNAxCAT IP. Supported by the LINE Dapp Portal, it uses LINE’s ecosystem for onboarding and growth. Players explore maps, roll dice, upgrade structures, and interact through cooperative or competitive mechanics. The game uses NFT-based assets and the $KO token to combine casual gameplay, AI-driven interactions, and on-chain ownership.",Social Platform,,https://x.com/KyuzosFriends/status/1988571689093906692,,"Stratified Capital, DeAgentAI, Chain Capital, KnightFury, X Wave Labs, LBank Labs",,
2025-11-12,Cypherpunk,Post-IPO Equity,,,,,,https://www.prnewswire.com/news-releases/leap-therapeutics-rebrands-as-cypherpunk-expands-leadership-team-to-drive-new-zcash-treasury-strategy-302612466.html,,,,
2025-11-12,Seismic,,10.0,,"Seismic is an encrypted blockchain platform that uses secure hardware to provide encrypted global state, memory access, and data flow. This design enables developers to build privacy-focused decentralized applications—including exchanges, lending protocols, auctions, stablecoins, and launchpads—by restructuring the blockchain stack around secure enclaves for stronger confidentiality and data protection",Privacy Infrastructure,,https://fortune.com/2025/11/12/crypto-startup-seismic-raises-10-million-to-help-fintechs-protect-customer-data/,a16z crypto,"Polychain Capital, Amber Group, TrueBridge, Dao5, LayerZero",,
2025-11-12,Shodai Network,Seed,2.5,,"Shodai Network is a project financing platform for Web3 founders that focuses on raising aligned, sustainable capital. It provides open-source tools, governance frameworks, and advisory support to address misaligned token and fundraising structures. By connecting teams with value-aligned backers and offering guidance on token design and incentives, Shodai aims to reduce predatory funding practices and support long-term project sustainability",Investment,,https://x.com/shodai_network/status/1988637805765910741,,"ConsenSys Mesh, ConsenSys, Joseph Lubin",,
2025-11-12,Takadao,Seed,1.5,,"Takadao, the web3 platform for bankless financial alternatives based in Riyadh and Singapore",Banking,DeFi & CeFi,https://www.msn.com/en-us/money/smallbusiness/takadao-raises-us-31-million-in-total-funding-and-launches-the-community-owned-prepaid-crypto-visa-card-lifecard/ar-AA1QgpyH,Draper Associates,"Istari Ventures, Hasan VC, Syla Invest, Wahed, Adverse, Ice Blue Fund",,
2025-11-11,Curvance,Strategic,4.0,,"Curvance is a DeFi platform for stablecoin deposits, yield generation, and borrowing, designed to reduce fragmentation across chains and protocols. It supports multiple Layer 2 networks and DEXs, offering tools to improve capital efficiency through adaptive rates and flexible borrowing. The protocol focuses on stablecoin-centric liquidity and aims to streamline stablecoin use within decentralized finance",DeFi,DeFi & CeFi,https://x.com/Curvance/status/1988260610363322547,"F Prime, Primal Capital","Auros Global, GSR, Flowdesk, Echo, V3V Ventures, Q42",,7053
2025-11-11,Lighter,,68.0,"zkLighter, Ethereum","Lighter is a decentralized trading platform that is designed to deliver unmatched security and scale. Lighter provides verifiable matching and liquidations, while operating at the best-in-class traditional exchange level performances",DeFi,DeFi & CeFi,https://fortune.com/2025/11/11/lighter-fundraise-founders-fund-ribbit-capital-haun-ventures-robinhood-vladimir-novakovski/,"Founders Fund, Ribbit Capital","Haun Ventures, Robin Hood Ventures",1500,parent#lighter
2025-11-10,Bluefin,Strategic,4.3,Sui,"Bluefin is a decentralized spot and derivatives exchange built for both professional and first-time traders. It focuses on security, transparency and redefining the user experience of using on-chain trading platforms - and is backed by Polychain, SIG, Brevan Howard, and other leading firms",DeFi,DeFi & CeFi,https://www.businesswire.com/news/home/20251110192976/en/SUI-Group-Partners-with-Bluefin-to-Accelerate-Institutional-Adoption-of-Perpetual-Futures-and-On-Chain-Structured-Products,SUI Group,,,parent#bluefin
2025-11-10,Tria,Public token sale,1.0,,"Tria is a self-custodial crypto platform that enables users to spend, trade, and earn from a single balance without gas fees, bridges, or seed phrases. It offers Visa cards in over 150 countries and supports more than 1,000 tokens. Powered by its AI-based BestPath engine, Tria routes trades efficiently and generates yield on idle assets, integrating with over 70 protocols and AI ecosystems including Polygon, Arbitrum, Sentient, and Injective",Payments,DeFi & CeFi,https://x.com/useTria/status/1987912244789940461,,,,
2025-11-07,Rift,,8.0,Bitcoin,"Rift is a peer-to-peer Bitcoin trading protocol that enables secure, self-custodied swaps without intermediaries. It integrates Uniswap’s liquidity infrastructure for efficient trading and uses Trusted Execution Environments (TEEs) to enhance privacy and security while connecting Bitcoin liquidity to DeFi markets",DeFi,DeFi & CeFi,https://x.com/riftdex/status/1986910507299954858,Paradigm,,,
2025-11-07,Commonware,,25.0,,"Commonware is a Rust-based blockchain framework that provides modular components for consensus, cryptography, networking, execution, storage, and streaming. It allows developers to customize blockchain architecture for high-performance, specialized on-chain applications with flexible interoperability and throughput optimization",Infrastructure,Web3 Infrastructure & Tools,https://fortune.com/2025/11/07/stripe-paradigm-tempo-commonware-strategic-investment-25-million/,Tempo,,,
2025-11-06,Arx Research,Seed,6.1,,"Arx Research builds hardware and protocols for on-chain authentication and crypto payments. Its HaLo chips embed cryptographic identities into physical items, enabling verifiable ownership, Physically Backed Tokens (PBTs), and secure NFC interactions. The company also develops the Burner Terminal, an EMV-certified device supporting both stablecoin and card payments for on-chain and traditional transactions",Infrastructure,Web3 Infrastructure & Tools,https://www.theblock.co/post/377876/arx-research-raises-6-1-million-usd-seed-round-launch-burner-terminal-stablecoin-fiat-point-of-sale-device,Castle Island Ventures,"1kx, Inflection, Seed Club Ventures, Placeholder",,
